IMO;Design Speed (knots)
6260453;18.52122302
6327306;20
6344086;19.75
6346917;19.75
6400352;19.5
6265301;15
6320769;20
6316805;20
6275253;19.7
6283518;19.75
6327307;20
6327875;20
6258057;22.9
6283152;18
6283153;18
6296401;12
6296409;12.5
6299329;16.1
6299377;16.1
6341899;16
6319694;14
6364752;20.15
6365370;20.15
6375176;13.29108033
6325069;11.5
6337125;12.5
6291087;13.5
6389241;13.5
6301801;14
6381813;13.29108033
6387347;13.29108033
6390791;13.29108033
6380662;13
6380668;13
6240615;19.5
6286311;14.5
6326321;15.4
6280221;12.3
6280229;12.3
6320255;15.3
6362021;13
6287298;13
6287306;13
6287307;13
6287315;13
6287323;13
6287331;13
6287337;13
6287345;13
6295503;24.5
6304193;13
6321951;9.8
6379317;14.01548052
6376076;13.5
6381664;14.01548052
6438623;14
5846374;10
6278937;11
6324537;11.7
6352792;11.6
6352793;11.6
6353589;13.29108033
6353597;14
5846061;11.73571429
6327607;15.5
6327615;15.5
6301963;15
6301971;15
6301979;15
6301981;15
6296433;18.52122302
6247565;12.21954023
6307217;12.21954023
6307225;12.21954023
6307233;12.21954023
6307234;12.21954023
6353503;13.5
6353511;13.5
6388146;10
6388147;13.5
6290225;10.5
6290233;10.5
6290234;10.5
6290242;10.5
6290250;10.5
6288781;15
6288789;15
5846487;10
6338241;10.5
6209165;10.5
6377185;12
6383007;12
6276421;18.52122302
6405129;15.7
6320481;11
6330878;19.5
6289511;18.52122302
6330870;19.5
6296767;8
6370247;12
6252316;22
6284695;15.5
6284703;15.5
6284711;15.5
6290477;18
6290485;17.5
6351851;14.5
6338415;13.29108033
6338423;13.29108033
6338431;12
6278065;18
6338379;11
6338380;14.01548052
6286641;16
6298635;17.5
6284739;12
6284740;12
6369735;13.3
6369743;14
6298643;18.9
6295763;14.01548052
6305455;14
6371100;11
6371108;11
6302409;10.5
6344739;12.21954023
6299473;11
6299474;11
6310298;11.73571429
6336763;12
6324919;12.5
6324920;12.5
6316308;14.01548052
6316316;14
6310969;14
6310977;14
6364822;14.01548052
6364830;16
6333905;14.01548052
5846443;11.73571429
5846529;11.73571429
6234327;28.5
6234337;28.5
6283255;22.2
6299482;11
6299490;11
6252324;22
6288655;13.5
6288663;13
6333225;14
6307342;13.29108033
6307350;13.29108033
6255965;22
6333157;12.5
6233814;24.5
6305674;24.5
6305682;24.5
6305690;24.5
6295841;14
6308837;13.29108033
6408371;14
6305463;14
6344457;10.1
6290493;17.5
6306506;17.5
6414998;18.5
6350373;16
6209173;10.5
6320229;11.73571429
6339971;14
6339979;14
6338406;14
6338407;14
6371761;13.29108033
6374993;13.29108033
6385310;13.29108033
6364838;14.01548052
6364846;16
6281143;13
6292828;14
6322031;14.5
6322039;14.5
6310701;16
6310863;16
6310867;16
6310875;16
6304813;16
6310883;16
6310891;16
6310899;16
6310900;16
6310908;16
6310916;16
6357165;14.5
6333096;14.8
6333104;12
6284337;14
6345920;14
6338233;10.5
6306369;18
6306377;13.29108033
6346157;10.5
6310091;16.5
6245535;19.5
6245543;19.5
6316040;16
6316048;16
6283371;12
6283379;12
6286737;22
6436647;14.5
6418575;13
6429931;13.5
6325695;15
6325703;15
6384469;11.5
6345617;11.5
6372386;12.21954023
6375405;12.21954023
6380075;12.85
6385590;12.21954023
6310733;14.01548052
5846718;11.73571429
6282499;13.7
6308958;13.7
6308966;13.7
6308967;13.7
6313644;17
6313652;17
6390010;13
6424619;12
6424621;12
6419735;12
6419743;12
6370267;14.01548052
6370283;14.01548052
6417474;14
6417482;14.5
6312137;18
6371169;13
6359873;10
6376422;12
6358732;14
6345601;11.5
6345609;11.5
6388833;15
6401195;15
6401214;15
6322065;13
6322068;14
6423387;12
6326786;12
6317493;13.29108033
5846831;14.01548052
6381493;13.29108033
6320437;14
3271928;25
3271938;25
6431185;11.2
6537045;13.0798916
6312352;13
6312353;13
6312593;21
6312594;21
6312604;21
6312612;21
6312613;21
6312621;21
6327570;12
6317492;13.29108033
6385877;12
6385885;14.5
6290258;10.5
6297860;13.29108033
6330234;15.5
6322084;19
6135807;13.0798916
6290266;10.5
6394801;10
6399561;10
6399569;10
6418675;13
6405111;13.29108033
6460470;11.5
6370412;13
6292044;19.5
6292052;20
6342849;12
6342857;12
6372646;8
6358751;15
6358759;15
6358735;18
6358743;17
6376007;12
6321935;16.5
6384449;10
6388842;12
6334636;12.3
6295703;19
6295711;18.5
6404434;15.5
6327985;14.01548052
6335935;12.21954023
6335943;14
6320489;15
6316917;13.6
6338249;10.5
6372728;13.0798916
6395042;13.5
6333897;15
6352097;10.5
6365735;10.8
6319901;19.6
6330773;11.73571429
6335004;16
6335012;16
6373291;10.5
6364306;15
6364307;15
6364315;15
6364323;15
6408139;14
6375732;12
6364030;14
6364038;14.5
6389239;11.4
6389268;10.3
6350339;12
6528559;13.29108033
6350469;13
6355269;11
6352872;13.5
6352873;13.5
6352881;13.5
6352889;13.5
6327822;11.5
6327830;11.5
6327838;11.5
6327846;11.5
6319909;19.6
6374566;14.01548052
6374567;14.01548052
6380498;14.8
6380506;14.8
6378833;13.7
6378885;13.7
6328561;12.21954023
6383953;12.21954023
6344878;18.5
6344886;18.5
6346857;18.5
6346865;18.5
6345512;12
6374091;12
6345541;13
6338711;16
6372655;8
6345050;11.73571429
6462323;13.29108033
6395050;13.5
6341013;15
6378163;14.2
6378171;14.2
6412151;14.5
6412159;14.5
6455704;10
6455712;10
6474573;10
6507257;13
6275881;18.5
6353280;15
6353288;15
6352219;17.5
6352236;17.5
6418323;19.9
6418331;18.52122302
6418335;18.52122302
6422107;18.52122302
6422115;18.52122302
6369054;11
6511941;12.21954023
6331341;13
6331349;13
6359377;17
6359385;17
6359387;17
6359395;17
6383015;16.6
6404990;13.29108033
6408493;13.29108033
6408338;13.29108033
6378553;16
6350888;23.9
6378179;14.2
6336264;12
6336267;12
6384320;14.5
6363853;15.5
6363905;15.5
6363914;15.5
6363933;15.5
6386061;16.1
6386071;16.1
6386079;16.1
6386081;16.1
6367636;19.5
6367957;17
6367965;17
6367973;17
6367974;17
6367982;15.8
6393321;12.21954023
6409703;10
6409711;10
6409719;10
6410922;12
6334124;18.52122302
6455217;13.29108033
6450791;13.29108033
6440909;10
6440917;10
6440925;10
6440927;10
6440937;10
6440945;10
6440953;10
6440954;10
6440962;10
6440970;10
6389572;11
6389573;11
6389581;11
6389589;11
6391825;14
6364331;16
6380995;15.3
6381005;15.3
6381013;15.3
6381014;15.3
6381022;15.3
6381030;15.3
6365691;16
6325937;14
6429192;15
6389597;11
6389601;11
6389609;11
6389617;11
6389625;11
6389633;11
6406219;16.2
6400084;14.6
6384757;14
6370482;20
6395955;15
6395963;15
6404597;30.5
6404705;30.5
5862983;14.01548052
6383528;10.5
6383538;10.5
6383546;10.5
6383547;10.5
6383555;10.5
6408485;7
6369845;13
6426301;13.5
6390182;15.3
6390190;23.75
6394580;15.1
6394588;15.5
6389188;12
6389196;12
6410723;12.5
6410731;12.5
6395208;14.01548052
6401883;12.21954023
6407065;10
6398906;10
6398907;10
6406841;10
6398915;12.21954023
6398923;10
6389808;22
6413435;14.01548052
6397531;14.01548052
6401631;14.07
6401639;10.5
6392513;15
6401899;14.9
6395232;13.29108033
6382423;17
6436979;10.5
6359915;13.29108033
6450820;11
6490215;11
6397835;17.5
6438303;10
6398931;10
6417799;12.21954023
6402553;15.5
6336101;13.5
6396881;24.21
6395660;13
6457593;11.5
6399211;11.5
6392019;12
6408606;10.5
6399220;11.5
6399219;11.5
6399228;11.5
6399236;11.5
6399244;11.5
6399252;11.5
6461190;11.5
6434662;13.29108033
6435899;13.29108033
6406781;16
6406789;16
6395233;13.29108033
6430145;15.4
6430153;15.4
6408607;10.5
6418916;14.01548052
6407893;14.01548052
6389816;22
6420634;11.73571429
6416203;10
6416211;10
6411303;10
6414348;13.29108033
6361729;12
6409739;16
6409197;10.8
6412479;11.5
6412481;11.5
6147126;13.29108033
6411173;12.5
6411174;12.5
6416950;15
6170663;13.29108033
6409033;15
6409034;15
6404600;21.8
6414649;13.29108033
6408615;10.5
6412522;13.5
6410930;12.21954023
6420650;10
6426999;10
6427011;10
6427003;10
6410775;14.01548052
6409773;15
6409781;15
6416391;13.29108033
6409834;13.0798916
6414372;10.5
6414373;10.5
6416399;15.5
6415001;13
6421198;18
6415350;14.01548052
6345938;12.21954023
6418193;13.5
6458619;15
6413150;15
6416367;12
6442001;13
6433934;13.0798916
6429553;14.01548052
6400353;19.5
6416673;15
6416682;15
6416674;15
6404632;19.5
6416659;12
6419923;16
6419931;16
6433041;15
6418515;14.01548052
6411799;15.8
6452960;11.73571429
5847693;11.73571429
5847701;11.73571429
6421714;13.29108033
6422898;15.4
6427019;10
6427020;10
6427028;10
6427036;10
6427044;10
6427052;10
6427053;10
6421697;12
6417523;19.5
6417515;19.5
6426033;13.29108033
6425055;10
6426041;13.29108033
6420218;14.01548052
6429561;15.4
6430006;10
6430007;10
6430015;10
6430023;10
6430031;10
6430041;10
6430049;10
6430057;10
6430065;10
6430068;10
6430076;10
6501248;12.21954023
6501256;12.21954023
6501264;12.21954023
6345928;12.21954023
6426077;10
6426966;10
6422245;13
6422253;13
6417359;19.5
6417351;19.5
6459063;14.01548052
6463305;12
6416609;19.5
6416617;19.5
6416625;19.5
6416627;19.9
6422366;10.5
6383563;10.5
6425315;10.5
6425307;10.5
6440264;7
6419724;19.5
6423543;19.5
6424883;19.5
6433344;12.21954023
6446816;13.29108033
6421705;12
6419732;19.5
6203557;10
6427783;16
6414329;11.73571429
6424592;21.7
6431856;13.29108033
6419691;18
6366309;22
6437401;22
6422661;18.52122302
6418644;18.52122302
6420519;14.01548052
6424523;19.5
6424531;19.5
6426682;19.5
6436155;13
6436147;13
6422281;18.52122302
6422289;19.5
6441596;14.01548052
6422724;19.5
6422732;19.5
6425935;19.5
6425943;19.5
6435204;13.29108033
6435213;13.29108033
6435212;13.29108033
6432686;13
6430647;19.5
6430937;12.6
6422399;11.73571429
6422403;11.73571429
6424995;21.5
6425005;18.52122302
6302689;13.0798916
6458969;13.29108033
6418636;18.52122302
6490223;11
6428977;16
6436980;10.5
6430655;10.5
5827611;13.29108033
6440301;13.29108033
6434753;12.6
6478064;16.4
6438835;15.5
6438843;13.29108033
6462297;17
6419683;10
6455087;18.3
6427820;21
6455095;18.3
6409357;22
6463524;17.3
6425683;18
6449887;13.29108033
6424474;18.52122302
6438641;13.29108033
6443032;12
6441493;11
6436094;12
6522900;19.8
6436163;13
6446504;13.29108033
6432825;15
6437458;13.6
6437466;13.8
6436171;13
6436065;12.5
6450581;13.29108033
6450589;13.29108033
6450597;13.29108033
6450601;13.29108033
6450609;13.29108033
6450650;13.29108033
6450658;13.29108033
6450666;13.29108033
6450672;13.29108033
6450673;13.29108033
6450681;13.29108033
6450689;13.29108033
6450697;13.29108033
6450705;13.29108033
6434823;11.73571429
6433585;16.625
6441389;14.5
6438588;14
6437469;14.7
6449294;12.5
6449302;12.5
6449310;12.5
6435916;14.01548052
6463975;14.01548052
6449318;12.5
6445060;14.01548052
6455773;15.4
6448809;12.21954023
6452915;12.21954023
6431355;14.01548052
6431363;14.01548052
6440076;14.01548052
6440068;14.01548052
6451599;11.5
6443877;13.29108033
6439687;11.73571429
5848069;7
6441684;13.29108033
6456333;13.29108033
6424482;18.52122302
6424490;19.9
6424498;19.9
6449739;14.01548052
6436464;18.52122302
6436467;18.52122302
6443687;14.01548052
6438639;13.29108033
6467398;6
5848058;11.73571429
5848050;11.73571429
6436963;13
6442103;13.29108033
6442111;13.29108033
6436971;18.52122302
6433369;19.5
6437023;14.5
6437031;14.5
6437039;14.5
6437041;14.5
6433361;21
6437205;19.5
6436695;19.5
6435785;18
6426958;18.52122302
6427097;18.52122302
6407178;19.5
6407186;19.5
6404633;19.5
6468579;13.29108033
6443341;15
6443268;14.01548052
6444827;12
6444835;15.3
6449627;13.29108033
6441424;14.01548052
6460141;12.21954023
6458661;12.21954023
6458653;12.21954023
6444381;11.73571429
6443382;15
675011;18
6457637;13.2
6457645;13.2
6457653;13.2
6457654;13.2
6457662;13.2
6457672;13.2
6457673;13.2
6457681;13.2
6440839;17
6443658;14.01548052
6443085;11.73571429
6441246;21
6456999;13.5
6457003;18.52122302
6232730;12
6439103;13.29108033
6461714;17
6445765;15.2
6450853;14.01548052
6450861;14.01548052
6451393;13.29108033
6446574;20
6454286;14.01548052
6458985;13
6441195;18
6460044;14.01548052
6453011;14.01548052
6443625;19.2
6449200;15
6455981;13.29108033
6447726;14.01548052
6449357;13.0798916
6459307;13.0798916
6519787;12
6519795;13.29108033
6454295;15
6452272;21
6456220;17.6
6456228;14.5
6451260;16
6451259;16
6468442;10
6468450;10.5
6426673;14.01548052
6454957;9
6449938;18
6473997;13.29108033
6439817;18.52122302
6452082;11.73571429
6455035;18.52122302
6468495;13.8
6458161;14.01548052
6455428;14.01548052
6476350;16
6504581;10.5
6504573;10.5
6475018;14.01548052
6456966;16
6456950;16
6456958;16
6456054;11.73571429
6456062;11.73571429
6513004;12
6461741;15
6461749;15
6510281;15
6455250;22.6
6463821;14.01548052
6459021;13.29108033
6459029;13.29108033
6459037;13.29108033
6459045;13.29108033
6484604;23.5
6484524;23.5
6462315;13.29108033
6508941;13.29108033
6508949;18.3
6508957;13.29108033
6508965;13.29108033
6464177;16.5
6456330;11.73571429
6473989;13.29108033
6426663;14.01548052
6490093;10
6453459;19.5
6453460;19.5
6477134;12.5
6468896;13.29108033
6468904;13.29108033
6490094;10.5
6469790;13
6461871;14
6463958;15
6465777;11.73571429
6455051;18.52122302
6455059;15
6455060;19.5
6455070;15
6454941;13.29108033
6454949;15
6490265;12
6438825;19.5
6356365;12
6438827;18.52122302
6464490;18.1
5763871;13.29108033
6469119;14.01548052
6461335;19.5
6461343;14
6465838;13.29108033
6468503;13.8
6468511;13.8
6462479;16
6473919;13.8
6469419;14.01548052
6488985;13.29108033
6476307;21.98295918
6464864;12.6
6464867;12.6
6473979;13.8
6473920;13.8
6482523;14.01548052
6468810;21.98295918
6467747;11.73571429
6476143;12.5
6474165;10.5
6479282;10.5
6486388;10.5
6486396;10.5
6497147;10.5
6480021;12
6477142;14.5
6478864;13.29108033
6478867;13.29108033
6495807;13.29108033
6465169;22
6471844;14.01548052
6497988;11.73571429
6473565;11.73571429
6460097;19.75
6460105;19.75
6460113;19.75
6460114;19.75
6183479;21.98295918
6464848;11.73571429
6495371;13
6458013;19.5
6495786;13.29108033
6495787;13.29108033
6472323;16
6476575;20
6495795;13.29108033
6458014;19.5
6471672;19.5
6471673;19.5
6474572;11.73571429
6473643;14
6473651;14
6501267;12.21954023
6501275;12.21954023
6472993;15
6472994;18.52122302
6524857;13.5
6488987;18.2
6491771;12
6503451;13.29108033
6469277;16.625
6497979;11.73571429
6213817;15.6
6484823;14.01548052
6405859;13.5
6332503;23
6332511;21.98295918
6467486;18.52122302
6467478;18.52122302
6481183;14.01548052
6481175;14.01548052
6504339;14.01548052
6504341;14.01548052
6505453;14
6456967;16
6496639;16
6496640;16
6501694;14.01548052
6491458;19.5
6485222;14.01548052
6487500;14.01548052
6494057;13.29108033
6473573;11.73571429
6486484;14.01548052
6485977;14.16
6483475;13
6483483;13
6483448;13
6483491;13
6483456;13
6483499;13
6483464;13
6483501;13
6483467;13
6483509;13
6496345;14
6516643;12
6493605;13.29108033
6489441;16
6491125;12.21954023
6491127;12.21954023
6502545;13
6502547;12.21954023
6485925;11
6501665;10
6510760;10
6488969;14.01548052
6488977;14.01548052
6495867;12.6
6482534;19.5
6508235;13.29108033
6501710;18.52122302
6490728;18.52122302
6518437;10
6488246;18.52122302
6488247;15.3
6497738;13.29108033
6495177;14.01548052
6499436;10
6502555;12
6502563;13
6507008;21.8
6518187;11.73571429
6509233;13.0798916
6509225;13
6505567;13.29108033
6494747;14.01548052
6483297;11.73571429
6505129;11.73571429
6501726;13.29108033
6497398;13.29108033
6489509;12
6501771;13.29108033
6501283;12.21954023
6501291;12.21954023
6536143;12.21954023
6536151;12.21954023
6506160;18.52122302
6506168;18.52122302
6503391;14.01548052
6509627;15.1
6509635;15.1
6502129;21
6502139;21
6514341;18
6514349;18.52122302
6509481;16
6509489;16
6409427;22
6502494;14.01548052
6502493;14.01548052
6502485;14.01548052
6487447;18.6
6508173;16
6496001;22.5
6508730;16
6496911;21
6496919;21.1
6507945;13.29108033
6519683;14.01548052
6510045;12.6
6507357;14
6507365;14.01548052
6510314;14.01548052
6507373;14.01548052
6510313;14.01548052
6510322;14.01548052
6505705;13
6507495;20.8
6507511;20.8
6455825;10
6515929;13
6515939;13.29108033
6523082;14.01548052
6523090;14.01548052
6509103;21.98295918
6500464;19.5
6500467;19.5
6500475;19.5
6500439;18.52122302
6500483;19.5
6500491;18.52122302
6500440;18.52122302
6500499;18.52122302
6500448;18.52122302
6507016;22.7
6510053;13
6505888;19.5
6513106;14.01548052
6500016;13.1
6500180;15.1
6500188;15.1
6500196;15.1
6513869;15
6513885;13.29108033
6513877;13.29108033
6501049;13.0798916
6505896;19.5
6518361;13
6556025;13.8
6514304;12
6515376;27
6511227;13
6508641;11.73571429
6513625;19.5
6513627;18.52122302
6517950;13.4
6512245;18.52122302
6512247;18.52122302
6512255;19.5
6512263;19.5
6512351;18.52122302
6519492;18.52122302
6519484;18.52122302
6516428;13.29108033
6513971;14.01548052
6513979;14.01548052
6513981;14.01548052
6513989;14.01548052
6516906;12.6
6518332;11
6518335;11
6528987;13.29108033
6540549;25
6544077;21.98295918
6516090;18.52122302
6516063;7.4
6505384;18.52122302
6516419;18.52122302
6522169;13.29108033
6522047;21.98295918
6524422;13
6524430;13
6527516;13.5
6521105;12
6527524;13.0798916
6509972;18.6
6523211;11
6523219;11
6518762;13.29108033
6536161;10
6536159;10
6522805;13.29108033
6531264;13.29108033
6527352;14.4
6512752;13.5
6525205;14.01548052
6531187;19.5
6518875;19.5
6531195;19.5
6520236;18
6511259;18.52122302
6523439;18.52122302
6530501;15
6527475;19.5
6527467;18.52122302
6562149;15
6523667;11.73571429
6531693;13.29108033
6518067;16
6518075;14.01548052
6549214;12.21954023
6552713;12.21954023
6541845;20.16
6513237;16.9
6487698;11
6531117;13.29108033
6541803;22
6558922;20.9871028
6441494;12
6522384;21
6522376;21
6511020;18.52122302
6511028;18.52122302
6511036;18.52122302
6511044;18.52122302
6511052;18.52122302
6511053;18.52122302
6509189;11
6533940;10
6533948;10
6533956;10
6533964;13.29108033
6545333;13.29108033
6545339;13.29108033
6545340;13.29108033
6540793;13.29108033
6534967;14
6534975;13
6553846;14
6422618;12
6543994;13.29108033
6493200;14.6
6493208;14.6
6493216;14.6
6493224;14.6
6540626;13.29108033
6536022;12.21954023
6531093;13.29108033
6536534;20
6519237;22
6534931;22
6471061;19
6544685;14
6541405;21.98295918
6544877;13
6543013;23
6544544;13.29108033
6545547;12
6545546;13.0798916
6542684;15
6542692;15
6561349;20
6550302;13.29108033
6545763;13.29108033
6540013;18.52122302
6535742;22.7
6552722;18.5
6551885;13.29108033
6545520;13
6545519;14.6
6546537;15
6549247;10
6546320;21.27
6548301;18.52122302
6550257;13.29108033
6546675;11.73571429
6546588;13.5
6549255;18
6547184;10
6544771;13.6
6544779;12.21954023
6580683;13.29108033
6542693;15
6542701;15
6454649;13.0798916
6548248;13.29108033
6574228;12
6566306;13.0798916
6552235;13.64
6552243;13.64
6556657;13.0798916
6553189;12.21954023
6553197;12.21954023
6560069;13.29108033
6565819;12
6569603;13.29108033
6569599;13.29108033
6569550;13.29108033
6552649;14
6552657;14
6552665;12.21954023
6552671;14
6555409;12.21954023
6553932;18.52122302
6556432;15.5
6561325;13.29108033
6569644;12.21954023
6569652;12.21954023
6561339;13.29108033
6561341;13.29108033
6561695;13.29108033
6558113;12.21954023
6562608;12.21954023
6558114;12.21954023
6562616;12.21954023
6558581;14
5794269;13.29108033
6572762;20.16
6568003;12
6568280;15
6568279;15
6547229;18
6570943;14
6590525;13.29108033
6590545;13.29108033
6590553;13.29108033
6590537;13.29108033
6287785;13.29108033
6567443;13.29108033
6582205;22.67
6582195;21
6575705;12.21954023
6570959;13.29108033
6570951;13.29108033
6577992;13.29108033
6582075;13.0798916
